,epoch,GroundTruth,Prediction
250,39,fortunately will halley was not a man in a hurry and did not use a press of canvas or his masts would inevitably have come down,portunately will halleye was not a man in a hurry an did nogt use a press ofe cand rists or his mas wourt him evirtacly have come down
251,39,sufficient allow two crumpets to each person,sufficient allowd two crupeds to each person
252,39,seventeen twenty four,seven teen twenty four
253,39,two days afterwards our nocturnal orgy began to be talked of,two days afterwards are an acturnal orgi began to be talked off
254,39,inside a secret rocket telemetering device was mounted on its test stand,heinside a secret rocket till the metering device was mountar ot its teststand
255,39,send my soul clean to asura,said my soul cleam to assurea
256,39,bennet will take the garden and green house off my hands this autumn for a year or longer if i like,then it will take the gardernmens a ten house off my hence the sautum for eare longer ef i like
257,39,so to the road thou shalt be reconciled and find the lady and with the lady love,so to the rode nou shalt be reconciled and find the leady and with the lady love
258,39,money is false and light unless it be bought by a man's own worthy qualities and blood is such that its corrupt disease and ignorant pretence are foul to see,money as false and lightd unlet it beat bought i a man's own worthy qualities enblooded such that its corrups the zease in  ignorat pretence or file to see
259,39,i think i cannot go right for i either check myself till i'm downright cross to him or else i speak just natural and that's too kind and tender by half,i think i cannot go right for i ither check myself till i'm down right cross to him oils i speak just natral and ot to kind intent o by half
260,39,this is the problem of race,this his the problem of race
261,39,he's so far to the right of me that i can't reach him,hes so far to the rit of me that i hant rech im
262,39,where are they asked the boy,where are they sked the boy
263,39,jam exclaimed chunky stretching his neck and eyeing the dish longingly,jim explaime chunky' thrirching is tick i ye eing  dish lyingly
264,39,that boy hears too much of what is talked about here,that bo hears too much what is talked aout here
265,39,a harsh laugh from comrade ossipon cut the tirade dead short in a sudden faltering of the tongue and a bewildered unsteadiness of the apostle's mildly exalted eyes,the horse laugh and commad asepan cut tha tyrae dead short in a surten faltering of the tongue ad ey bewlded unstuliness wor thei postles moldly exapad ises
266,39,you know i'd get drafted in a year or two anyway,you know i gid drapped in a year twilinyway
267,39,she pointed into the gold cottonwood tree behind whose top we stood and said again what name,she pointed into the gold cougtton would tree behind hos top we stood and said again what name
268,39,and the captain of course concluded after having been introduced to kitty that missus norman was a widow,and the captain of course concluded after having been introduce the kity that missus norman was  witdow
269,39,she shall have your message all that i can do to persuade her shall be done,she shall have your message all that i can do to pursuade her shall be done
270,39,yes miss clarke the middle aged lady with the parrishes,yes miss clark the middle aged  lady with the parishes
271,39,yes many times,yes  many times
272,39,no a very natural one i should say,no a very nantual one i we shoup say
273,39,the second was as if her flesh and bones had all been fashioned out of emerald the third appeared as snow but newly fallen,the second wood as if her flesh and bone had all been vashioed ot os emirald the third appeared as snow but newly fallen
274,39,gentlemen he said in a hoarse voice give me your word of honor that this horrible secret shall forever remain buried amongst ourselves the two men drew back,gantleman he set in the horse voice give me your were remana that this horrible secretshal for ever remain buried amonst ourselves le two men drw back
275,39,was there ever a happier man than joseph that night as he strode along the footpath,was there ever a happier man than joseth that night as he stroye along the foot pass
276,39,we need kentucky and i understand that a very little more may bring the state to us go with your father i understand that you have been a brave young soldier here and may you do as well up there,wi nee kontucky and i understand that a very little more may bring the state to us go with yer father i understand that you have been a brase young soldier here and may yo do as well up there
277,39,he would make a famous scoundrel,he would make a famous scoungrel
278,39,his hair having probably been dyed with some corrosive preparation had left it woolly and rough to the touch,his har having pobably been died with some corosive preparation had left it wolly and roughe to the touch
279,39,it was the worst sunday he had spent in his life,it was the worst tunday he had sent in his life
280,39,when hurstwood got back to his office again he was in a greater quandary than ever,when harts lod got back tho his office again he was in a greater quandry than hever
281,39,what would she do about that the confounded wretch,whi dou she do about that the contended ratch
282,39,one who writes of such an era labours under a troublesome disadvantage,one who right of such an hear of labours under a trouble some disadvantage
283,39,here comes the snapping turtle,ere croms o stiipy turn all
284,39,grant acted as mustering officer until being commissioned colonel of the twenty first illinois volunteers he took the field,gran acted as mustering off i sir until being commission curnal ofe thou twenty first dill in way bolan teers he took the field
285,39,the best of us are not exempt from egotistical thoughts,subast of us are  not exsempt from egotistical fous
286,39,this however may not be for the copyright will probably expire in a little over twelve years,this however men at befor the coppy mat will probably expire and a little overtwelve years
287,39,this had some effect in calming him,is had some effecting calming him
288,39,he nodded curtly and made for the door dodging acquaintances as he went,he nodded curtly and made for the door dodging acquaintances as he went
289,39,don't cry don't cry he whispered,don't cry don't cry he whispered
290,39,oh bartley did you write to me,o bartly did you rit to mee
291,39,the poor fellow stayed in that well all night,the pour fellow stat in that well all night
